x,y,z,ux,uy,uz,vx,vy,vz,speed
1.5781637,5.991459,9.200612,-0.2275356,-0.77061164,0.59530276,-0.1137678,-0.38530582,0.29765138,0.50000006
9.208299,0.7281741,1.212266,-0.34666386,-0.8060416,0.47970945,-0.17333193,-0.4030208,0.23985472,0.5
0.7726774,5.469708,5.762489,-0.28037056,-0.8985271,0.33770013,-0.14018528,-0.44926354,0.16885006,0.5
1.002997,3.6981199,4.980475,0.19657053,-0.8258051,0.5285886,0.098285265,-0.41290256,0.2642943,0.49999997
3.7375543,6.2436614,3.1679826,-0.8645851,-0.48656195,0.12549978,-0.43229255,-0.24328098,0.06274989,0.5
5.66216,3.1416576,0.11165853,-0.44473666,-0.8797081,0.16829477,-0.22236833,-0.43985406,0.084147386,0.50000006
1.0407374,4.8172398,7.579709,-0.62853104,-0.67672443,0.38339642,-0.31426552,-0.33836222,0.19169821,0.5
8.656357,3.7400043,3.1278558,0.41651297,-0.70627946,0.572439,0.20825648,-0.35313973,0.2862195,0.5
5.002089,7.8166766,7.344608,-0.4424818,-0.66589737,0.60065836,-0.2212409,-0.33294868,0.30032918,0.49999997
6.824266,7.764815,9.420296,-0.38291547,-0.104142055,0.91789436,-0.19145773,-0.052071027,0.45894718,0.49999997
5.9480762,7.395324,8.80274,0.10683985,0.2163367,0.9704554,0.053419925,0.10816835,0.4852277,0.5
0.66949314,6.4838862,2.393889,0.07552478,-0.990381,0.11593743,0.03776239,-0.4951905,0.057968713,0.5
6.480626,4.413475,9.988116,-0.49046713,-0.7054141,-0.51169604,-0.24523357,-0.35270706,-0.25584802,0.49999997
4.4048986,2.023108,0.40793335,-0.98463446,-0.049124595,-0.16757642,-0.49231723,-0.024562297,-0.08378821,0.5
0.30800545,3.470301,5.0036097,0.49948615,-0.6983587,0.5126486,0.24974307,-0.34917936,0.2563243,0.49999997
0.9995387,5.691422,8.986761,-0.768634,-0.40222955,0.49740645,-0.384317,-0.20111477,0.24870323,0.5
5.393047,7.260336,6.5088563,-0.8426641,-0.04213816,0.5367881,-0.42133206,-0.02106908,0.26839405,0.49999997
2.6774895,1.5833894,3.479954,-0.27095175,-0.95678264,0.10560366,-0.13547587,-0.47839132,0.05280183,0.5
