model,match_method,N,k,k_label,R,matched_R,seed,D,phi_mean,phi_std,chi,sdot,J,mean_degree,mean_kth_dist
topological,count,2048,5,k=5,,0.6714,0,0.014375,0.7597635984420776,0.028826773166656494,1.701852798461914,2.1566078662872314,1.267211675643921,5.0,0.661549985408783
metric,count,2048,5,k=5,0.6714,0.6714,0,0.014375,0.8056535124778748,0.0238132756203413,1.1613637208938599,2.103027582168579,1.8108259439468384,7.676279067993164,
topological,count,2048,5,k=5,,0.6714,1,0.014375,0.7080509066581726,0.022833161056041718,1.0677313804626465,2.1709580421447754,2.0332436561584473,5.0,0.6544011831283569
metric,count,2048,5,k=5,0.6714,0.6714,1,0.014375,0.813752293586731,0.01363420020788908,0.3807056248188019,2.100639581680298,5.517752647399902,6.172470569610596,
topological,count,2048,5,k=5,,0.6714,2,0.014375,0.7900352478027344,0.03248213231563568,2.1608221530914307,2.1491470336914062,0.9945969581604004,5.0,0.6813154220581055
metric,count,2048,5,k=5,0.6714,0.6714,2,0.014375,0.8380997776985168,0.012534587644040585,0.32177335023880005,2.1069369316101074,6.547891616821289,6.179443359375,
topological,count,2048,5,k=5,,0.6714,3,0.014375,0.7714354395866394,0.03066256269812584,1.9255149364471436,2.1454319953918457,1.1142120361328125,5.0,0.6709434390068054
metric,count,2048,5,k=5,0.6714,0.6714,3,0.014375,0.8321917653083801,0.018158167600631714,0.6752645969390869,2.105992317199707,3.1187660694122314,6.737568378448486,
topological,count,2048,5,k=5,,0.6714,4,0.014375,0.7438693046569824,0.04005494713783264,3.285808563232422,2.1621146202087402,0.65801602602005,5.0,0.661404013633728
metric,count,2048,5,k=5,0.6714,0.6714,4,0.014375,0.8214815258979797,0.02025793306529522,0.8404661417007446,2.0983083248138428,2.496600866317749,7.086659908294678,
topological,count,2048,5,k=5,,0.6714,5,0.014375,0.7059100270271301,0.03860221803188324,3.051788568496704,2.175076961517334,0.7127220630645752,5.0,0.6589823961257935
metric,count,2048,5,k=5,0.6714,0.6714,5,0.014375,0.8117888569831848,0.020902633666992188,0.8948124051094055,2.0929977893829346,2.3390352725982666,6.181366920471191,
topological,count,2048,5,k=5,,0.6714,6,0.014375,0.7713631987571716,0.025560326874256134,1.3380204439163208,2.1699063777923584,1.6217288970947266,5.0,0.6590979099273682
metric,count,2048,5,k=5,0.6714,0.6714,6,0.014375,0.806492805480957,0.014839096926152706,0.4509671628475189,2.097412586212158,4.650920867919922,6.703535079956055,
topological,count,2048,5,k=5,,0.6714,7,0.014375,0.7874944806098938,0.032536353915929794,2.1680421829223633,2.1551709175109863,0.994063138961792,5.0,0.7047781348228455
metric,count,2048,5,k=5,0.6714,0.6714,7,0.014375,0.8285346031188965,0.013341196812689304,0.36451849341392517,2.1035401821136475,5.7707366943359375,6.755918025970459,
topological,count,2048,5,k=5,,0.6714,0,0.015,0.7393583655357361,0.07589679956436157,11.797144889831543,2.1655850410461426,0.1835685819387436,5.0,0.6827057003974915
metric,count,2048,5,k=5,0.6714,0.6714,0,0.015,0.8253716230392456,0.022880416363477707,1.072155475616455,2.1094343662261963,1.967470645904541,8.097294807434082,
topological,count,2048,5,k=5,,0.6714,1,0.015,0.6777404546737671,0.03304576128721237,2.236461877822876,2.187831163406372,0.9782555103302002,5.0,0.6295398473739624
metric,count,2048,5,k=5,0.6714,0.6714,1,0.015,0.8446367383003235,0.01581920124590397,0.5125061273574829,2.0991225242614746,4.095799922943115,8.197548866271973,
topological,count,2048,5,k=5,,0.6714,2,0.015,0.7171392440795898,0.027313431724905968,1.5278562307357788,2.173882007598877,1.4228315353393555,5.0,0.6704891920089722
metric,count,2048,5,k=5,0.6714,0.6714,2,0.015,0.8382112979888916,0.010836748406291008,0.24050714075565338,2.1108758449554443,8.776769638061523,6.827724456787109,
topological,count,2048,5,k=5,,0.6714,3,0.015,0.7619338035583496,0.04183381795883179,3.5841400623321533,2.1546990871429443,0.6011760234832764,5.0,0.6992937922477722
metric,count,2048,5,k=5,0.6714,0.6714,3,0.015,0.8054249286651611,0.026546766981482506,1.443288803100586,2.1087520122528076,1.4610742330551147,6.885839462280273,
