model,match_method,N,k,k_label,R,matched_R,seed,D,phi_mean,phi_std,chi,sdot,J,mean_degree,mean_kth_dist
topological,count,2048,3,k=3,,0.5063,6,0.006667,0.5409916639328003,0.07581283152103424,11.771056175231934,2.22729229927063,0.1892177015542984,3.0,0.41819632053375244
metric,count,2048,3,k=3,0.5063,0.5063,6,0.006667,0.8152241110801697,0.023120077326893806,1.0947338342666626,2.047154426574707,1.870002031326294,6.155282974243164,
topological,count,2048,3,k=3,,0.5063,7,0.006667,0.4901602864265442,0.07123339921236038,10.391955375671387,2.2372374534606934,0.2152855098247528,3.0,0.41942644119262695
metric,count,2048,3,k=3,0.5063,0.5063,7,0.006667,0.808318018913269,0.019506966695189476,0.7793086171150208,2.0507380962371826,2.631484031677246,5.83776330947876,
topological,count,2048,3,k=3,,0.5063,0,0.0075,0.5673466920852661,0.03043091855943203,1.896531581878662,2.222651958465576,1.171956181526184,3.0,0.4360481798648834
metric,count,2048,3,k=3,0.5063,0.5063,0,0.0075,0.7849598526954651,0.022860247641801834,1.0702661275863647,2.0624167919158936,1.9270131587982178,5.79812479019165,
topological,count,2048,3,k=3,,0.5063,1,0.0075,0.3986268639564514,0.0389409177005291,3.105576992034912,2.2705724239349365,0.7311274409294128,3.0,0.41752365231513977
metric,count,2048,3,k=3,0.5063,0.5063,1,0.0075,0.7696726322174072,0.02896307408809662,1.7179845571517944,2.055553913116455,1.1964915990829468,6.557997703552246,
topological,count,2048,3,k=3,,0.5063,2,0.0075,0.5317081212997437,0.03369615599513054,2.3253626823425293,2.224926710128784,0.9568085074424744,3.0,0.43016722798347473
metric,count,2048,3,k=3,0.5063,0.5063,2,0.0075,0.8007211685180664,0.019477741792798042,0.776975154876709,2.0602898597717285,2.6516804695129395,5.389101505279541,
topological,count,2048,3,k=3,,0.5063,3,0.0075,0.4985237121582031,0.07677757740020752,12.07254409790039,2.235797643661499,0.1851968914270401,3.0,0.431091845035553
metric,count,2048,3,k=3,0.5063,0.5063,3,0.0075,0.8053622245788574,0.013486100360751152,0.3724798262119293,2.059725046157837,5.5297627449035645,6.033857345581055,
topological,count,2048,3,k=3,,0.5063,4,0.0075,0.42023685574531555,0.0307669248431921,1.938644289970398,2.245950937271118,1.15851628780365,3.0,0.40785276889801025
metric,count,2048,3,k=3,0.5063,0.5063,4,0.0075,0.7978729009628296,0.01651521772146225,0.5585969090461731,2.064053773880005,3.695068359375,5.506982326507568,
topological,count,2048,3,k=3,,0.5063,5,0.0075,0.4517138600349426,0.031322844326496124,2.0093352794647217,2.2501044273376465,1.1198252439498901,3.0,0.4149226248264313
metric,count,2048,3,k=3,0.5063,0.5063,5,0.0075,0.8183802366256714,0.017830830067396164,0.6511381268501282,2.0497004985809326,3.147873640060425,5.441279411315918,
topological,count,2048,3,k=3,,0.5063,6,0.0075,0.5525364875793457,0.05473659932613373,6.136003494262695,2.2175650596618652,0.3614021837711334,3.0,0.4106062948703766
metric,count,2048,3,k=3,0.5063,0.5063,6,0.0075,0.7850333452224731,0.020106445997953415,0.8279432654380798,2.0501651763916016,2.4762144088745117,5.575175762176514,
topological,count,2048,3,k=3,,0.5063,7,0.0075,0.548443078994751,0.06513823568820953,8.689643859863281,2.201300621032715,0.25332459807395935,3.0,0.42499014735221863
metric,count,2048,3,k=3,0.5063,0.5063,7,0.0075,0.7778868079185486,0.03958255797624588,3.2087631225585938,2.05479097366333,0.6403685212135315,5.930214881896973,
topological,count,2048,3,k=3,,0.5063,0,0.008333,0.5597759485244751,0.06883979588747025,9.705302238464355,2.2005350589752197,0.22673535346984863,3.0,0.4478151202201843
metric,count,2048,3,k=3,0.5063,0.5063,0,0.008333,0.753337562084198,0.025356698781251907,1.3167866468429565,2.068389654159546,1.570785641670227,5.255937576293945,
topological,count,2048,3,k=3,,0.5063,1,0.008333,0.4175474941730499,0.04438868910074234,4.0352888107299805,2.254775047302246,0.5587642788887024,3.0,0.4127114415168762
metric,count,2048,3,k=3,0.5063,0.5063,1,0.008333,0.7817876935005188,0.016077455133199692,0.5293763279914856,2.063887357711792,3.898714780807495,5.627304553985596,
topological,count,2048,3,k=3,,0.5063,2,0.008333,0.5283542275428772,0.04582114517688751,4.299934387207031,2.2155966758728027,0.5152629017829895,3.0,0.4252079725265503
metric,count,2048,3,k=3,0.5063,0.5063,2,0.008333,0.7350761890411377,0.018824173137545586,0.7257078289985657,2.0731184482574463,2.856684684753418,5.735234260559082,
topological,count,2048,3,k=3,,0.5063,3,0.008333,0.5079086422920227,0.10173380374908447,21.19632339477539,2.2230348587036133,0.10487832129001617,3.0,0.437458872795105
metric,count,2048,3,k=3,0.5063,0.5063,3,0.008333,0.7943724393844604,0.020224720239639282,0.8377124667167664,2.067265748977661,2.4677510261535645,5.006875038146973,
topological,count,2048,3,k=3,,0.5063,4,0.008333,0.421714186668396,0.09061802923679352,16.817413330078125,2.244405746459961,0.1334572583436966,3.0,0.4279816746711731
metric,count,2048,3,k=3,0.5063,0.5063,4,0.008333,0.7355644106864929,0.03623772785067558,2.689378499984741,2.0685393810272217,0.7691514492034912,6.222998142242432,
topological,count,2048,3,k=3,,0.5063,5,0.008333,0.32580986618995667,0.09820348024368286,19.750755310058594,2.293292284011841,0.1161116287112236,3.0,0.4212602972984314
metric,count,2048,3,k=3,0.5063,0.5063,5,0.008333,0.7525373697280884,0.02525566890835762,1.306314468383789,2.064258337020874,1.5802154541015625,5.332265377044678,
topological,count,2048,3,k=3,,0.5063,6,0.008333,0.4795249402523041,0.061052653938531876,7.633769512176514,2.263587713241577,0.29652294516563416,3.0,0.4260042905807495
metric,count,2048,3,k=3,0.5063,0.5063,6,0.008333,0.6423338055610657,0.1341792196035385,36.8723258972168,2.066220283508301,0.05603715777397156,7.28649377822876,
topological,count,2048,3,k=3,,0.5063,7,0.008333,0.5627187490463257,0.04176373779773712,3.572141647338867,2.203845977783203,0.6169537305831909,3.0,0.4423237442970276
metric,count,2048,3,k=3,0.5063,0.5063,7,0.008333,0.7577834725379944,0.021276431158185005,0.9271019697189331,2.067173719406128,2.229715585708618,5.611718654632568,
topological,count,2048,3,k=3,,0.5063,0,0.00875,0.498899906873703,0.06391952186822891,8.367525100708008,2.2459256649017334,0.268409788608551,3.0,0.4459058940410614
metric,count,2048,3,k=3,0.5063,0.5063,0,0.00875,0.7619345188140869,0.019320065155625343,0.7644465565681458,2.0685434341430664,2.7059361934661865,5.843427658081055,
topological,count,2048,3,k=3,,0.5063,1,0.00875,0.3487829566001892,0.061534516513347626,7.7547454833984375,2.276870012283325,0.2936098873615265,3.0,0.42544445395469666
metric,count,2048,3,k=3,0.5063,0.5063,1,0.00875,0.7137673497200012,0.04831264540553093,4.780261039733887,2.0703885555267334,0.4331119954586029,6.176513671875,
topological,count,2048,3,k=3,,0.5063,2,0.00875,0.5144948959350586,0.06025097891688347,7.434609889984131,2.242471933364868,0.3016260266304016,3.0,0.43786048889160156
